Average Purchase Price,Average Rent Price,Socioeconomic Index,School Rating,English Neighborhood Name,Hebrew Neighborhood Name,General Overview,Bars_Count,Restaurants_Count,Clubs_Count,Shopping_Malls_Count,Unique_Entertainment_Count,Primary_Schools_Count,Elementary_Schools_Count,Secondary_Schools_Count,High_Schools_Count,Universities_Count,Closest_Beach_Distance_km,Latitude,Longitude
5325000.0,9500.0,10.0,6.748000000000001,Afeka,אפקה,"Afeka is a primarily residential neighborhood in northern Tel Aviv, known for its tranquil atmosphere. It attracts families and young professionals, offering a mix of apartments and houses, along with parks and green spaces. Commercial activity is limited, with a focus on local services and small businesses that cater to the residents' needs, creating a relaxed and family-friendly vibe.
",2.0,21.0,0.0,3.0,22.0,4.0,0.0,0.0,0.0,1.0,1.97,32.122615,34.806536
3589418.0,8200.0,3.0,4.2,Bitsaron,ביצרון,"Bitsaron is a charming and primarily residential neighborhood in Tel Aviv, known for its quiet streets and a relaxed atmosphere. It attracts families and young professionals seeking a more laid-back environment, with a focus on community. The area primarily features local businesses and convenience stores, contributing to its calm and neighborly vibe.
",25.0,24.0,21.0,2.0,63.0,3.0,0.0,1.0,0.0,7.0,2.15,32.069798,34.795407
4280538.632653061,7100.0,4.0,6.0,Giv'at Herzl,גבעת הרצל,"Giv'at Herzl is a residential neighborhood known for its family-friendly atmosphere, attracting young professionals and families with children. It offers a mix of quiet streets and local businesses, including cafes, shops, and essential services. The neighborhood has a relaxed vibe, providing a comfortable and convenient environment for its residents.
",32.0,35.0,23.0,0.0,74.0,3.0,0.0,2.0,0.0,2.0,1.38,32.051194,34.768382
5300000.0,11000.0,9.0,7.4,Glilot,גלילות,"Glilot is a modern, primarily residential neighborhood known for its high-rise apartments and proximity to major highways. It attracts a diverse population, including young professionals, families, and those seeking easy access to Tel Aviv and surrounding areas. The area is characterized by tech companies and office buildings, contributing to a busy, contemporary vibe.
",1.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.38,32.141349,34.794562
2450000.0,4900.0,5.0,3.8,Dakar,מכללת יפו תל אביב ודקר,"Dakar is a vibrant and up-and-coming Tel Aviv neighborhood with a youthful energy. It attracts a diverse mix of residents, including young professionals, students, and families, leading to a dynamic atmosphere. You'll find a variety of businesses, such as trendy cafes, local shops, and art studios, contributing to the neighborhood's hip and modern vibe.
",32.0,29.0,4.0,1.0,59.0,6.0,0.0,3.0,0.0,1.0,0.0,32.0852999,34.78176759999999
3707240.0,8600.0,8.0,8.0,Hadar Yosef,הדר יוסף,"Hadar Yosef is a family-friendly neighborhood with a mix of residential buildings and green spaces, creating a relaxed atmosphere. It attracts a diverse population, including young families, long-time residents, and a growing number of young professionals, with a focus on community. Local businesses include grocery stores, cafes, and small businesses catering to daily needs, contributing to the area's everyday vibe.
",3.0,26.0,0.0,2.0,28.0,3.0,0.0,2.0,0.0,1.0,,32.108459,34.823604
4500000.0,10000.0,9.0,8.0,HaMishtalah,המשתלה,"HaMishtalah offers a vibrant, family-friendly atmosphere, attracting young professionals and established families. The area boasts a mix of residential buildings alongside cafes, restaurants, and local shops. The neighborhood has a lively vibe, combining a sense of community with the convenience of city living.
",1.0,24.0,0.0,0.0,24.0,3.0,0.0,2.0,0.0,0.0,,32.127098,34.833023
5166974.0,9000.0,7.0,5.7,The New North - Southern Section,הצפון החדש - החלק הדרומי,"The New North - Southern Section in Tel Aviv offers a balanced atmosphere, blending residential calm with accessible urban amenities. This area attracts a mix of families, young professionals, and long-term residents, contributing to a diverse community. The neighborhood features local businesses like cafes, small shops, and essential services, fostering a convenient and laid-back vibe.
",32.0,29.0,4.0,1.0,59.0,6.0,0.0,3.0,0.0,1.0,0.0,32.0852999,34.78176759999999
5107037.0,8900.0,9.0,8.3,The New North - Northern Section,הצפון החדש - החלק הצפוני,"The New North - Northern Section in Tel Aviv boasts a relaxed, family-friendly atmosphere with a mix of residential areas and green spaces. You'll find a diverse community, primarily composed of young families, professionals, and long-term residents. The area features a variety of local businesses, including cafes, restaurants, and shops, contributing to a calm and pleasant vibe.
",32.0,29.0,4.0,1.0,59.0,6.0,0.0,3.0,0.0,1.0,0.0,32.0852999,34.78176759999999
5658904.0,9500.0,9.0,7.8,The New North around Kikar HaMedina,הצפון החדש - סביבת כיכר המדינה,"The New North, surrounding Kikar HaMedina, is a sophisticated and upscale neighborhood known for its high-end residential buildings and tree-lined streets. Residents typically include affluent families, young professionals, and long-time Tel Avivians. The area boasts luxury boutiques, designer shops, gourmet restaurants, and cafes, creating a vibrant yet refined atmosphere.
",20.0,27.0,1.0,1.0,44.0,6.0,0.0,4.0,0.0,1.0,0.65,32.0860616,34.7886368
4080313.0,8900.0,9.0,7.1,The Old North - Southern Section,הצפון הישן - החלק הדרומי,"The Old North - Southern Section in Tel Aviv is a charming, established residential area with a relaxed atmosphere. It's primarily home to families, young professionals, and long-time residents, featuring a mix of beautiful architecture. You'll find local cafes, boutiques, and essential services, creating a convenient and pleasant neighborhood vibe.
",34.0,29.0,10.0,0.0,63.0,5.0,0.0,2.0,0.0,0.0,0.57,32.087228,34.77615000000001
4297464.0,8500.0,9.0,7.7,The Old North - Northern Section,הצפון הישן - החלק הצפוני,"The Old North - Northern Section in Tel Aviv offers a relaxed, upscale atmosphere, known for its beautiful architecture and tree-lined streets. This area attracts a mix of families, young professionals, and long-time residents, creating a diverse community. You'll find a blend of local businesses, including charming cafes, boutique shops, and essential services, contributing to a pleasant and comfortable vibe.
",34.0,29.0,10.0,0.0,63.0,5.0,0.0,2.0,0.0,0.0,0.57,32.087228,34.77615000000001
1409799.0,4400.0,3.0,5.2,Hatikva,התקווה,"Hatikva is a vibrant, working-class neighborhood in Tel Aviv, known for its strong sense of community. The area is home to a diverse population, including long-time residents, new immigrants, and young families. Businesses in Hatikva range from local markets and workshops to restaurants serving authentic cuisine, creating a bustling atmosphere with a friendly vibe.
",9.0,33.0,18.0,1.0,59.0,6.0,0.0,2.0,0.0,3.0,2.9,32.051784,34.787781
3411821.0,6150.0,6.0,5.4,Yad Eliyahu,יד אליהו,"Yad Eliyahu offers a relaxed, family-friendly atmosphere. The area is home to a diverse mix of residents, including young families, long-term residents, and some students. You'll find a good selection of local businesses, including grocery stores, cafes, and small shops, contributing to a practical and everyday vibe.
",7.0,35.0,14.0,0.0,54.0,5.0,0.0,2.0,0.0,2.0,3.31,32.058585,34.797144
2349154.0,5000.0,4.0,3.2,Yafo Darom,יפו ג' ונווה גולן,"Yafo Darom, or South Jaffa, is known for its vibrant and historic atmosphere. The area attracts a diverse population, including long-time residents, artists, and young professionals. You'll find a mix of businesses here, from local shops and art galleries to restaurants and cafes. The neighborhood generally has a lively and creative vibe.
",2.0,26.0,0.0,1.0,28.0,8.0,0.0,5.0,0.0,0.0,0.7,32.036444,34.753432
1805798.0,4500.0,3.0,3.5,Yafo Dalet,יפו ד' (גבעת התמרים),"Yafo Dalet offers a relaxed atmosphere, blending residential areas with local businesses. The neighborhood attracts a diverse community of families, young professionals, and long-time residents. You'll find a mix of small shops, cafes, and local services, contributing to a laid-back and community-focused vibe.
",4.0,26.0,0.0,1.0,30.0,8.0,0.0,4.0,0.0,0.0,0.9,32.034581,34.755381
4280538.632653061,11750.0,5.0,4.1,Old Jaffa,יפו העתיקה,"Old Jaffa is a historic neighborhood with a charming, artistic atmosphere, attracting a diverse mix of residents including artists, young professionals, and families. The area is filled with art galleries, restaurants, and boutique shops, creating a lively and tourist-friendly environment. The general vibe is a blend of old-world charm and modern creativity, offering a unique experience in Tel Aviv.
",23.0,24.0,4.0,0.0,45.0,1.0,0.0,2.0,0.0,2.0,0.71,32.0548566,34.7551977
6250000.0,13500.0,9.0,10.0,Kochav HaTzafon,כוכב הצפון,"Kochav HaTzafon is a prestigious, upscale neighborhood with a calm atmosphere, known for its beautiful parks and green spaces. You'll find a mix of affluent families, professionals, and long-time residents residing there, enjoying the area's tranquility. While mainly residential, the neighborhood features local shops, cafes, and some high-end services catering to its residents, creating a relaxed and sophisticated vibe.
",4.0,33.0,4.0,0.0,38.0,7.0,0.0,1.0,0.0,1.0,1.16,32.101499,34.785787
2066732.0,6000.0,4.0,6.7,Kfar Shalem,כפר שלם,"Kfar Shalem is a historic Tel Aviv neighborhood with a unique atmosphere, often described as a blend of old and new. The area is home to a diverse population, including long-time residents and young families, creating a friendly vibe. You'll find a mix of local businesses like small shops and workshops, along with a growing number of cafes and restaurants.
",3.0,28.0,0.0,0.0,30.0,4.0,0.0,2.0,0.0,0.0,,32.0515996,34.8056166
4125000.0,11000.0,7.0,5.1,Kerem HaTeimanim,כרם התימנים,"Kerem HaTeimanim, a historic neighborhood in Tel Aviv, exudes a charming and lively atmosphere. It's home to a mix of long-time residents and young professionals, drawn to its unique character. The area boasts traditional eateries, small shops, and local businesses, creating a vibrant and bustling vibe.
",32.0,32.0,23.0,2.0,78.0,2.0,0.0,3.0,0.0,0.0,0.27,32.0695921,34.76616509999999
6478007.0,9900.0,9.0,9.0,Lev Tel Aviv,לב העיר,"Lev Tel Aviv is a vibrant and central neighborhood with a lively atmosphere. It attracts a diverse mix of residents, including young professionals, families, and artists. The area is filled with trendy boutiques, cafes, restaurants, and nightlife, contributing to its energetic vibe.
",25.0,25.0,29.0,3.0,71.0,3.0,0.0,3.0,0.0,3.0,1.39,32.0666265,34.7775642
2243602.0,5200.0,5.0,6.9,Yedidya,לבנה וידידיה,"Yedidya is a charming and quiet residential neighborhood in Tel Aviv, known for its family-friendly atmosphere. The area primarily attracts young families, professionals, and long-term residents, creating a diverse yet close-knit community. You'll find a mix of local grocery stores, cafes, and essential services, contributing to a relaxed and convenient neighborhood vibe.
",1.0,17.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,,32.043977,34.811525
2850000.0,7000.0,9.0,8.4,Montefiore,מונטיפיורי,"Montefiore in Tel Aviv exudes a sophisticated yet relaxed atmosphere, attracting a mix of young professionals, families, and long-term residents. This upscale neighborhood boasts trendy boutiques, cafes, and restaurants alongside established businesses like financial institutions and design studios. The vibe is chic and modern, making it a sought-after location for those seeking a stylish urban lifestyle.
",27.0,29.0,25.0,2.0,66.0,2.0,0.0,1.0,0.0,8.0,2.16,32.066919,34.78910400000001
